Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
W,0.00051,0.00071,0.00121,0.0107,0.00024,0.00041,0.00067,0.00061,0.00353,0.00021,0.00029,0.00059,0.00039,0.00724,0.00021,0.0134,0.00543,0.00872,0.0381,0.0531,0.0904,0.8,0.0179,0.0755,0.123,0.112,0.65,0.0387,0.0333,0.0677,0.0447,0.83,0.0241,0.147,0.244,0.247,2.28,0.0807,21.0,8.61,25.0,18.2,8.85,18.6,9.77,3.83,8.67,7.42,0.00918
W,0.0004,0.00051,0.00062,0.00539,0.00012,0.00038,0.00052,0.00046,0.00238,0.0001,0.00024,0.00037,0.00025,0.00723,9.52e-05,0.00704,0.00384,0.00819,0.0568,0.0724,0.0881,0.766,0.017,0.099,0.135,0.12,0.62,0.026,0.0293,0.0452,0.0305,0.883,0.0116,0.185,0.253,0.238,2.27,0.0547,13.5,6.26,30.1,16.6,8.69,28.9,6.6,3.16,12.3,7.34,0.00636
W,0.00036,0.00047,0.00059,0.00967,0.0001,0.00036,0.00049,0.00044,0.00312,8.65e-05,0.00022,0.00033,0.00024,0.0023,7.38e-05,0.0112,0.0045,0.00316,0.0322,0.042,0.0527,0.864,0.00894,0.0801,0.109,0.0979,0.694,0.0192,0.0695,0.104,0.0759,0.727,0.0233,0.182,0.255,0.226,2.29,0.0515,26.9,8.67,10.5,15.3,16.4,9.58,12.4,4.19,4.62,7.06,0.00628
W,0.00035,0.00047,0.00043,0.00228,0.00011,0.00036,0.00053,0.0004,0.00144,0.00011,0.00025,0.00036,0.00025,0.00091,8.21e-05,0.00364,0.00284,0.00185,0.0962,0.129,0.118,0.626,0.0302,0.127,0.187,0.141,0.507,0.0387,0.135,0.194,0.135,0.491,0.0443,0.358,0.51,0.394,1.62,0.113,6.51,4.0,3.64,4.72,5.3,3.64,3.3,2.07,1.9,2.42,0.00278
W,0.00033,0.00043,0.00053,0.00436,9.42e-05,0.00031,0.00043,0.00038,0.00149,8.09e-05,0.00023,0.00034,0.00024,0.00175,7.72e-05,0.00574,0.00269,0.00264,0.0574,0.0749,0.0923,0.759,0.0164,0.115,0.16,0.141,0.554,0.0301,0.0872,0.129,0.091,0.664,0.0293,0.26,0.364,0.324,1.98,0.0757,13.2,4.81,7.61,8.54,8.23,7.29,6.43,2.53,3.49,4.15,0.00369
W,0.00036,0.00043,0.00038,0.00194,8.52e-05,0.00039,0.00048,0.00041,0.001,8.09e-05,0.00027,0.00033,0.00025,0.00066,6.54e-05,0.0032,0.00236,0.00158,0.113,0.135,0.119,0.607,0.0267,0.165,0.203,0.174,0.424,0.0343,0.171,0.209,0.159,0.419,0.0415,0.449,0.547,0.451,1.45,0.102,5.39,2.56,2.44,3.47,5.11,2.64,2.94,1.62,1.52,2.02,0.00238
N1,0.00034,0.00047,0.00041,0.00159,0.0001,0.00038,0.00054,0.00048,0.00138,0.0001,0.00023,0.00034,0.00025,0.00112,7.61e-05,0.00291,0.00288,0.00202,0.117,0.162,0.141,0.546,0.0344,0.132,0.188,0.167,0.479,0.0347,0.114,0.169,0.124,0.556,0.0377,0.363,0.518,0.432,1.58,0.107,4.68,3.63,4.87,4.39,3.88,4.48,2.47,2.02,2.4,2.3,0.0026
N1,0.00035,0.00048,0.0004,0.00128,9.38e-05,0.00041,0.00064,0.00051,0.00134,0.00011,0.00023,0.00032,0.00027,0.0007,7.22e-05,0.0026,0.00301,0.00159,0.134,0.184,0.154,0.492,0.036,0.136,0.213,0.169,0.445,0.0365,0.144,0.201,0.17,0.44,0.0453,0.415,0.598,0.493,1.38,0.118,3.66,3.27,3.04,3.32,3.2,2.59,2.02,1.76,1.76,1.85,0.0024
N1,0.00035,0.00042,0.00052,0.00134,9.36e-05,0.00043,0.00047,0.00078,0.00156,8.65e-05,0.00025,0.00031,0.00036,0.00077,6.93e-05,0.00272,0.00333,0.00176,0.129,0.154,0.191,0.492,0.0344,0.129,0.141,0.234,0.469,0.026,0.142,0.176,0.205,0.438,0.0394,0.4,0.472,0.63,1.4,0.0998,3.83,3.63,3.08,3.51,2.58,2.14,2.42,2.6,2.02,2.34,0.0026
N2,0.0005,0.00053,0.00077,0.0029,8.67e-05,0.00067,0.00073,0.00139,0.00549,9.54e-05,0.00027,0.00033,0.00047,0.0013,7.02e-05,0.00479,0.00838,0.00244,0.104,0.111,0.161,0.606,0.0181,0.08,0.0872,0.166,0.655,0.0114,0.111,0.135,0.193,0.533,0.0288,0.295,0.333,0.519,1.79,0.0583,5.8,8.19,4.81,6.27,3.77,2.77,3.56,4.91,2.95,3.81,0.0052
